"date","center_name","주문(취소제외)"
"2025-05-08","동작상도점",5408
"2025-05-08","동탄점",6909
"2025-05-08","마포상암점",4777
"2025-05-08","부산남구점",3500
"2025-05-08","부산동래점",5091
"2025-05-08","부산사하점",3218
"2025-05-08","부산진구점",6376
"2025-05-08","부산해운대점",2832
"2025-05-08","부천점",8672
"2025-05-08","분당점",7442
"2025-05-08","서대문신촌점",12421
"2025-05-08","서초교대점",4982
"2025-05-08","서초내방점",5265
"2025-05-08","서초반포점",4007
"2025-05-08","성남점",7323
"2025-05-08","성동옥수점",5395
"2025-05-08","송파문정점",4865
"2025-05-08","송파신천점",3363
"2025-05-08","송파잠실점",4936
"2025-05-08","수원광교점",4667
"2025-05-08","수원권선점",3742
"2025-05-08","수원인계점",8889
"2025-05-08","시흥점",4838
"2025-05-08","안산점",8625
"2025-05-08","안양점",6509
"2025-05-08","영등포신길점",7103
"2025-05-08","오산점",5083
"2025-05-08","용산한남점",5692
"2025-05-08","용인점",6139
"2025-05-08","울산남구점",4205
"2025-05-08","원주점",5652
"2025-05-08","은평점",6708
"2025-05-08","의정부점",6444
"2025-05-08","인천검단점",2586
"2025-05-08","인천남부점",8882
"2025-05-08","인천부평점",10676
"2025-05-08","인천연수점",5918
"2025-05-08","인천용현점",4048
"2025-05-08","인천청라점",5268
"2025-05-08","일산점",6742
"2025-05-08","전주점",3322
"2025-05-08","중구명동점",4143
"2025-05-08","중랑면목점",6988
"2025-05-08","창원점",2577
"2025-05-08","천안점",8478
"2025-05-08","청주상당점",4763
"2025-05-08","청주흥덕점",4924
"2025-05-08","춘천점",2719
"2025-05-08","파주점",4794
"2025-05-08","평택고덕점",2637
"2025-05-08","평택점",7720
"2025-05-08","하남점",5517
"2025-05-09","강남논현점",9793
"2025-05-09","강남압구정점",5295
"2025-05-09","강남양재점",10745
"2025-05-09","강동천호점",10418
"2025-05-09","강북미아점",10324
"2025-05-09","강서가양점",10236
"2025-05-09","강서화곡점",13689
"2025-05-09","고양점",4310
"2025-05-09","관악신림점",12617
"2025-05-09","광진자양점",11076
"2025-05-09","구로신도림점",7115
"2025-05-09","구리점",7152
"2025-05-09","군포점",4384
"2025-05-09","금천독산점",8689
"2025-05-09","김포점",7419
"2025-05-09","김해점",4027
"2025-05-09","노원중계점",8731
"2025-05-09","대구달서점",7846
"2025-05-09","대구북구점",3799
"2025-05-09","대구수성점",6368
"2025-05-09","대구중구점",5767
"2025-05-09","대전서구점",9772
"2025-05-09","대전유성점",5066
"2025-05-09","대전중구점",7729
"2025-05-09","도봉쌍문점",11126
"2025-05-09","동대문제기점",11633
"2025-05-09","동작상도점",7496
"2025-05-09","동탄점",8908
"2025-05-09","마포상암점",6967
"2025-05-09","부산남구점",6257
"2025-05-09","부산동래점",8091
"2025-05-09","부산사하점",5215
"2025-05-09","부산진구점",9262
"2025-05-09","부산해운대점",4904
"2025-05-09","부천점",12496
"2025-05-09","분당점",10894
"2025-05-09","서대문신촌점",17353
"2025-05-09","서초교대점",6399
"2025-05-09","서초내방점",6789
"2025-05-09","서초반포점",5541
"2025-05-09","성남점",9235
"2025-05-09","성동옥수점",7692
"2025-05-09","송파문정점",6702
"2025-05-09","송파신천점",4343
"2025-05-09","송파잠실점",7924
"2025-05-09","수원광교점",6587
"2025-05-09","수원권선점",5820
"2025-05-09","수원인계점",11539
"2025-05-09","시흥점",6532
"2025-05-09","안산점",11476
"2025-05-09","안양점",8625
"2025-05-09","영등포신길점",10034
"2025-05-09","오산점",6650
"2025-05-09","용산한남점",7557
"2025-05-09","용인점",9529
"2025-05-09","울산남구점",6259
"2025-05-09","원주점",7836
"2025-05-09","은평점",8772
"2025-05-09","의정부점",8823
"2025-05-09","인천검단점",4254
"2025-05-09","인천남부점",12017
"2025-05-09","인천부평점",14760
"2025-05-09","인천연수점",8626
"2025-05-09","인천용현점",6092
"2025-05-09","인천청라점",7826
"2025-05-09","일산점",9360
"2025-05-09","전주점",5211
"2025-05-09","중구명동점",5728
"2025-05-09","중랑면목점",9199
"2025-05-09","창원점",4080
"2025-05-09","천안점",11404
"2025-05-09","청주상당점",6472
"2025-05-09","청주흥덕점",6801
"2025-05-09","춘천점",3999
"2025-05-09","파주점",7531
"2025-05-09","평택고덕점",4557
"2025-05-09","평택점",10471
"2025-05-09","하남점",7401
"2025-05-10","강남논현점",11479
"2025-05-10","강남압구정점",6019
"2025-05-10","강남양재점",12884
"2025-05-10","강동천호점",13631
"2025-05-10","강북미아점",13967
"2025-05-10","강서가양점",13954
"2025-05-10","강서화곡점",19360
"2025-05-10","고양점",5687
"2025-05-10","관악신림점",17320
"2025-05-10","광진자양점",14315
"2025-05-10","구로신도림점",10160
"2025-05-10","구리점",9363
"2025-05-10","군포점",5744
"2025-05-10","금천독산점",11670
"2025-05-10","김포점",8547
"2025-05-10","김해점",4116
"2025-05-10","노원중계점",11635
"2025-05-10","대구달서점",9493
"2025-05-10","대구북구점",4884
"2025-05-10","대구수성점",6679
"2025-05-10","대구중구점",6100
"2025-05-10","대전서구점",11295
"2025-05-10","대전유성점",6928
"2025-05-10","대전중구점",8985
"2025-05-10","도봉쌍문점",15061
"2025-05-10","동대문제기점",16056
"2025-05-10","동작상도점",10021
"2025-05-10","동탄점",10817
"2025-05-10","마포상암점",9997
"2025-05-10","부산남구점",5786
"2025-05-10","부산동래점",7536
"2025-05-10","부산사하점",5104
"2025-05-10","부산진구점",9722
"2025-05-10","부산해운대점",4536
"2025-05-10","부천점",15336
"2025-05-10","분당점",14448
"2025-05-10","서대문신촌점",22164
"2025-05-10","서초교대점",8210
"2025-05-10","서초내방점",10253
"2025-05-10","서초반포점",6865
"2025-05-10","성남점",13461
"2025-05-10","성동옥수점",10272
"2025-05-10","송파문정점",8460
"2025-05-10","송파신천점",6076
"2025-05-10","송파잠실점",9716
"2025-05-10","수원광교점",8856
"2025-05-10","수원권선점",6951
"2025-05-10","수원인계점",14766
"2025-05-10","시흥점",8082
"2025-05-10","안산점",16386
"2025-05-10","안양점",11949
"2025-05-10","영등포신길점",13973
"2025-05-10","오산점",8875
"2025-05-10","용산한남점",10056
"2025-05-10","용인점",11964
"2025-05-10","울산남구점",6684
"2025-05-10","원주점",9592
"2025-05-10","은평점",12814
"2025-05-10","의정부점",11573
"2025-05-10","인천검단점",5054
"2025-05-10","인천남부점",14367
"2025-05-10","인천부평점",18328
"2025-05-10","인천연수점",10970
"2025-05-10","인천용현점",6988
"2025-05-10","인천청라점",9401
"2025-05-10","일산점",10935
"2025-05-10","전주점",6647
"2025-05-10","중구명동점",7356
"2025-05-10","중랑면목점",12444
"2025-05-10","창원점",4417
"2025-05-10","천안점",14029
"2025-05-10","청주상당점",8337
