"운영일","PPC","hash","SKU","UNIT","SKU당 피킹시간","UNIT당 피킹시간","주차","월","년"
"2025-05-07","인천남부점","x485bGv4",441,671.0,"0.33",0.2150521609538003,19,5,2025
"2025-05-07","대전중구점","QyXPGhvj",649,953.0,"0.27",0.1806925498426023,19,5,2025
"2025-05-07","일산점","fDfmDO33",358,469.0,"0.23",0.17174840085287846,19,5,2025
"2025-05-07","강서가양점","FJIYmvpy",296,442.0,"0.37",0.24778280542986425,19,5,2025
"2025-05-07","인천남부점","K1lzLYSp",468,695.0,"0.36",0.2395251798561151,19,5,2025
"2025-05-07","도봉쌍문점","GVUtpcnf",477,677.0,"0.25",0.17465288035450516,19,5,2025
"2025-05-07","청주흥덕점","ldKyWs9q",241,334.0,"0.40",0.28592814371257486,19,5,2025
"2025-05-07","하남점","zzWYw2RT",116,159.0,"0.24",0.17358490566037738,19,5,2025
"2025-05-07","안양점","s0ov0BOy",81,118.0,"0.20",0.13999999999999999,19,5,2025
"2025-05-07","도봉쌍문점","tyVLfBDt",688,1054.0,"0.23",0.1487571157495256,19,5,2025
"2025-05-07","평택점","SPoGMS9p",684,1047.0,"0.32",0.20947468958930276,19,5,2025
"2025-05-07","분당점","LGBaKKwV",66,86.0,"0.30",0.22662790697674418,19,5,2025
"2025-05-07","인천연수점","6ocmpk7Q",93,144.0,"0.23",0.1502777777777778,19,5,2025
"2025-05-07","인천부평점","3NLVucg3",851,1160.0,"0.28",0.20299137931034483,19,5,2025
"2025-05-07","중랑면목점","qTzr0nAB",669,980.0,"0.25",0.17287755102040814,19,5,2025
"2025-05-07","울산남구점","vKmLTbP6",535,792.0,"0.27",0.18313131313131312,19,5,2025
"2025-05-07","용인점","YCg9JBIR",168,243.0,"0.26",0.18230452674897119,19,5,2025
"2025-05-07","천안점","q7zvIJzo",593,919.0,"0.31",0.19870511425462462,19,5,2025
"2025-05-07","천안점","tLEax9iG",61,93.0,"0.28",0.18075268817204299,19,5,2025
"2025-05-07","도봉쌍문점","xZrTD4Vm",848,1251.0,"0.23",0.15422861710631494,19,5,2025
"2025-05-07","강북미아점","QJff6LTb",557,843.0,"0.30",0.1962040332147094,19,5,2025
"2025-05-07","강남논현점","jJHyQ5Yy",73,111.0,"0.25",0.16378378378378378,19,5,2025
"2025-05-07","일산점","EZci6tsH",219,282.0,"0.28",0.2194326241134752,19,5,2025
"2025-05-07","의정부점","Utd8NYo4",579,785.0,"0.28",0.20495541401273884,19,5,2025
"2025-05-07","오산점","QMLmn1Oc",254,367.0,"0.36",0.24604904632152588,19,5,2025
"2025-05-07","성동옥수점","SMNdP1Ui",143,168.0,"0.29",0.25089285714285714,19,5,2025
"2025-05-07","구로신도림점","UvkRVXa5",348,505.0,"0.26",0.18007920792079207,19,5,2025
"2025-05-07","도봉쌍문점","uXpGj3Sm",546,773.0,"0.24",0.17250970245795602,19,5,2025
"2025-05-07","강남논현점","n1oGl0zh",300,469.0,"0.36",0.22974413646055436,19,5,2025
"2025-05-07","송파문정점","OU49wevg",165,208.0,"0.24",0.19235576923076922,19,5,2025
"2025-05-07","시흥점","XfvaLLXg",135,223.0,"0.22",0.13497757847533634,19,5,2025
"2025-05-07","강북미아점","pZxLDsxI",496,729.0,"0.35",0.2376406035665295,19,5,2025
"2025-05-07","동탄점","bd6fMBYi",339,519.0,"0.34",0.22177263969171482,19,5,2025
"2025-05-07","성남점","9rQyn8bC",303,426.0,"0.34",0.24166666666666667,19,5,2025
"2025-05-07","대구북구점","1iWaeUxI",8,8.0,"0.24",0.24,19,5,2025
"2025-05-07","관악신림점","t8koPsZK",413,589.0,"0.37",0.2598811544991511,19,5,2025
"2025-05-07","성남점","PDDiyui7",239,341.0,"0.37",0.2616715542521994,19,5,2025
"2025-05-07","대전서구점","36S0M0JH",423,684.0,"0.55",0.3399561403508772,19,5,2025
"2025-05-07","관악신림점","NpiPjuyv",466,706.0,"0.36",0.23436260623229463,19,5,2025
"2025-05-07","중랑면목점","gVppahO5",468,682.0,"0.34",0.23183284457478007,19,5,2025
"2025-05-07","인천용현점","LaNjkKVZ",416,578.0,"0.28",0.2046885813148789,19,5,2025
"2025-05-07","원주점","gmRNEw9Q",631,894.0,"0.24",0.1724496644295302,19,5,2025
"2025-05-07","동탄점","yVlKcHNJ",180,247.0,"0.23",0.165668016194332,19,5,2025
"2025-05-07","송파문정점","9nZlxwZw",374,593.0,"0.46",0.2879426644182125,19,5,2025
"2025-05-07","인천부평점","afwSxn8X",234,389.0,"0.64",0.38249357326478145,19,5,2025
"2025-05-07","인천청라점","3UMCe31j",57,84.0,"0.51",0.34273809523809523,19,5,2025
"2025-05-07","평택점","GUC3DiDV",113,139.0,"0.46",0.37028776978417266,19,5,2025
"2025-05-07","관악신림점","3j4Z9sLK",110,131.0,"0.29",0.24427480916030533,19,5,2025
"2025-05-07","인천부평점","Dxmwm4vq",556,829.0,"0.38",0.2532207478890229,19,5,2025
"2025-05-07","의정부점","0k6uXtYI",46,64.0,"0.21",0.151875,19,5,2025
"2025-05-07","용인점","fdxKTXXF",559,857.0,"0.37",0.24087514585764294,19,5,2025
"2025-05-07","창원점","2gqQgLTg",566,876.0,"0.25",0.16188356164383563,19,5,2025
"2025-05-07","강남양재점","PWiDtqJS",409,632.0,"0.36",0.23536392405063292,19,5,2025
"2025-05-07","대구중구점","MxMoEGPN",282,441.0,"0.38",0.2453968253968254,19,5,2025
"2025-05-07","중구명동점","Z5kcObcB",73,108.0,"0.24",0.16037037037037039,19,5,2025
"2025-05-07","서초내방점","v4rgW3TU",360,518.0,"0.33",0.22903474903474905,19,5,2025
"2025-05-07","인천청라점","hElpEISl",241,408.0,"0.63",0.3748774509803921,19,5,2025
"2025-05-07","안산점","3g6fYoWb",32,37.0,"0.22",0.1927027027027027,19,5,2025
"2025-05-07","부천점","eED1ubfK",735,1111.0,"0.28",0.18324032403240326,19,5,2025
"2025-05-07","수원인계점","Ywi42XDQ",339,463.0,"0.29",0.2119438444924406,19,5,2025
"2025-05-07","송파문정점","cCDuTLJy",6,7.0,"0.27",0.23428571428571426,19,5,2025
"2025-05-07","오산점","1DFtNysx",517,700.0,"0.26",0.19554285714285713,19,5,2025
"2025-05-07","대구수성점","qdWFHg36",558,895.0,"0.27",0.16549720670391063,19,5,2025
"2025-05-07","구리점","ys2UW06m",522,752.0,"0.39",0.2716223404255319,19,5,2025
"2025-05-07","용인점","yLi9rqsw",445,652.0,"0.26",0.1777760736196319,19,5,2025
"2025-05-07","동대문제기점","sjmWCfgF",427,633.0,"0.27",0.1839178515007899,19,5,2025
"2025-05-07","안양점","lO6DTtlA",130,206.0,"0.24",0.15281553398058254,19,5,2025
"2025-05-07","강남양재점","xTmcQeLL",19,22.0,"0.25",0.21772727272727274,19,5,2025
"2025-05-07","동탄점","yNwJCgwQ",899,1311.0,"0.25",0.17340198321891687,19,5,2025
"2025-05-07","군포점","fs0YfiFa",104,136.0,"0.21",0.15676470588235294,19,5,2025
"2025-05-07","강남논현점","kskKV9BV",398,633.0,"0.33",0.2093206951026856,19,5,2025
"2025-05-07","강남논현점","vOvax542",415,643.0,"0.26",0.16709175738724727,19,5,2025
"2025-05-07","의정부점","7MMEIgXT",493,720.0,"0.31",0.20920833333333333,19,5,2025
"2025-05-07","강남양재점","07Dyw8Ow",300,494.0,"0.25",0.15004048582995952,19,5,2025
"2025-05-07","대구중구점","yjJG9JRP",543,798.0,"0.34",0.23005012531328323,19,5,2025
"2025-05-07","은평점","cH955Ysf",512,756.0,"0.34",0.23078042328042328,19,5,2025
"2025-05-07","성동옥수점","JFF7Hp75",68,123.0,"0.26",0.14398373983739837,19,5,2025
"2025-05-07","수원광교점","AfUbUaKR",80,108.0,"0.17",0.1238888888888889,19,5,2025
"2025-05-07","광진자양점","yGdywxnC",3,4.0,"0.36",0.2675,19,5,2025
