"date","name","hash","split_order_id","sku_code","prev_dt","dt","diff_seconds"
"2025-05-10","부천점","vqdeN3Np","166383613","A21002386","2025-05-10 06:17:48","2025-05-10 06:18:07",18
"2025-05-10","부천점","vqdeN3Np","166383613","A20002799","2025-05-10 06:18:07","2025-05-10 06:18:21",14
"2025-05-10","부천점","BHoqohab","166383620","A20002997","2025-05-10 06:17:54","2025-05-10 06:18:10",16
"2025-05-10","부천점","BHoqohab","166383620","A20002997","2025-05-10 06:18:10","2025-05-10 06:18:14",3
"2025-05-10","부천점","BHoqohab","166383620","A20003851","2025-05-10 06:18:14","2025-05-10 06:18:21",6
"2025-05-10","부천점","BHoqohab","166383620","A21002076","2025-05-10 06:18:21","2025-05-10 06:18:43",22
"2025-05-10","부천점","oOs9exjt","166383665","A21001362","2025-05-10 06:26:56","2025-05-10 06:27:14",17
"2025-05-10","부천점","oOs9exjt","166383665","A21003967","2025-05-10 06:27:14","2025-05-10 06:27:43",29
"2025-05-10","부천점","oOs9exjt","166383665","A21012249","2025-05-10 06:27:43","2025-05-10 06:27:50",6
"2025-05-10","부천점","oOs9exjt","166383665","A20001705","2025-05-10 06:27:50","2025-05-10 06:28:26",36
"2025-05-10","부천점","oOs9exjt","166383665","A20001450","2025-05-10 06:28:26","2025-05-10 06:28:40",13
"2025-05-10","부천점","oOs9exjt","166383665","A21014075","2025-05-10 06:28:40","2025-05-10 06:28:46",5
"2025-05-10","부천점","oOs9exjt","166383665","A21012742","2025-05-10 06:28:46","2025-05-10 06:29:11",24
"2025-05-10","부천점","oOs9exjt","166383665","A21002013","2025-05-10 06:29:11","2025-05-10 06:29:24",12
"2025-05-10","부천점","oOs9exjt","166383665","A20000735","2025-05-10 06:29:24","2025-05-10 06:29:44",19
"2025-05-10","부천점","oOs9exjt","166383665","A21011077","2025-05-10 06:29:44","2025-05-10 06:30:35",51
"2025-05-10","부천점","oOs9exjt","166383665","A21001977","2025-05-10 06:30:35","2025-05-10 06:31:10",35
"2025-05-10","부천점","oOs9exjt","166383676","A21019457","2025-05-10 06:34:50","2025-05-10 06:35:10",20
"2025-05-10","부천점","oOs9exjt","166383676","A21019455","2025-05-10 06:35:10","2025-05-10 06:35:18",8
"2025-05-10","부천점","oOs9exjt","166383676","S0004455","2025-05-10 06:35:18","2025-05-10 06:35:27",8
"2025-05-10","부천점","oOs9exjt","166383676","A21019454","2025-05-10 06:35:27","2025-05-10 06:35:34",7
"2025-05-10","부천점","oOs9exjt","166383676","A21022448","2025-05-10 06:35:34","2025-05-10 06:35:58",24
